title,year,Id,Category
"Oceanic currents, not land masses, maintain the genetic structure of the mangrove Rhizophora mucronata Lam. (Rhizophoraceae) in Southeast Asia",2014,1,"Oceanography,Sm,"
The origin of biogeographic segregation in the copper shark (carcharhinus brachyurus): An integ rati ve reconst ruction based on neontological and paleontological data,2020,2,"Behavior,Historical,Bg,"
Spatial and temporal patterns of genetic variation in the widespread antitropical deep-sea coral Paragorgia arborea,2012,3,"Deep_sea,Historical,Bg,"
The biogeography of some marine planktonic diatoms,1976,4,"Habitat,Oceanography,Bg,"
Variation in palaeo-shorelines explains contemporary population genetic patterns of rocky shore species,2014,5,"Oceanography,Historical,Sm,"
The role of ancestral seascape discontinuity and geographical distance in structuring rockfish populations in the Pacific Northwest,2022,6,"Habitat,Oceanography,Historical,Sm,"
Temperature or transport? Range limits in marine species mediated solely by flow,2000,7,"Larval_duration,Oceanography,Sm,"
Biogeographical patterns of rocky shore community structure in south-east Australia: Effects of oceanographic conditions and heat stress,2015,8,"Habitat,Misc,Oceanography,Sm,"
Mitochondrial DNA and bindin gene sequence evolution among allopatric species of the sea urchin genus Arbacia,1998,9,"Bg,Selection_incompatibility,"
"New species of Caelorinchus (Macrouridae, GS,adiformes, Teleostei) from the Indian Ocean",1999,10,"Unknown,Bg,"
"GS,enetic structure of Atlantic and GS,ulf of Mexico populations of sea bass, menhaden, and sturgeon: Influence of zoogeographic factors and life-history patterns",1990,11,"Behavior,Habitat,Larval_duration,Historical,Sm,"
Habitat continuity and stepping-stone oceanographic distances explain population genetic connectivity of the brown alga Cystoseira amentacea,2017,12,"Habitat,Larval_duration,Oceanography,Sm,"
"A barrier to gene flow in the Asian paddle crab, Charybdis japonica, in the Yellow Sea",2015,13,"Oceanography,Historical,Sm,"
"Molecular evidence of distinct evolutionary units in the sandhopper Talorchestia capensis (Amphipoda, Talitridae) along South African coasts",2016,14,"Larval_duration,Temperature,Sm,"
"GS,enetically separate populations of the ocean-skater Halobates sericeus (Heteroptera: GS,erridae) have been maintained since the late Pleistocene",2012,15,"Temperature,Historical,Bg,Other,"
"Multiple ice-age refugia in Pacific cod, GS,adus macrocephalus",2010,16,"Historical,Bg,"
"Evidence for panmixia despite barriers to gene flow in the hooked mussel, Ischadium recurvum (Mytilidae; Brachidontinae) along the North American coastline",2019,17,"Misc,nogap,"
Molecular insights into the population structures of cosmopolitan marine fishes,1998,18,"Historical,Bg,"
Stepping stones to isolation: Impacts of a changing climate on the connectivity of fragmented fish populations,2018,19,"Larval_duration,Oceanography,Climate_change,Sm,"
First record of Ulva californica in the mainland of China: a single alien parthenogenetic population in discontinuous distribution,2022,20,"Invasive,Larval_duration,Sm,"
Return of the ghosts of dispersal past: Historical spread and contemporary gene flow in the blue sea star Linckia laevigata,2014,21,"Historical,Sm,"
"Population structure and speciation in tropical seas: GS,lobal phylogeography of the sea urchin Diadema",2001,22,"Oceanography,Historical,Bg,"
"GS,lobal phylogeography of the scalloped hammerhead shark (Sphyrna lewini)",2006,23,"Habitat,Oceanography,Historical,Bg,"
Contrast across a boundary: Differing histories of two eelpout populations on a continuous continental slope,2020,24,"Habitat,Historical,Sm,"
"Why are most aquatic plants widely distributed? Dispersal, clonal growth and small-scale heterogeneity in a stressful environment",2002,25,"Larval_duration,Misc,Sm,Selection_incompatibility,"
"Towards a review of the decapod crustacea from the remote oceanic archipelago of Trindade and Martin Vaz, south Atlantic Ocean: New records and notes on ecology and zoogeography",2017,26,"Bg,"
Population subdivision promoted by a sea-level-change-driven bottleneck: A glimpse from the evolutionary history of the mangrove plant Aegiceras corniculatum,2022,27,"Habitat,Larval_duration,Oceanography,Historical,Sm,"
Oceanographic drivers of population differentiation in Indo-Pacific bottlenose (Tursiops aduncus) and humpback (Sousa spp.) dolphins of the northern Bay of Bengal,2017,28,"Oceanography,Sm,"
Phylogeography of the bivalve Tegillarca granosa in coastal China: Implications for management and conservation,2012,29,"Invasive,Historical,Sm,"
Retention around and long-distance dispersal between oceanic islands by planktonic larvae of benthic gastropod Mollusca,1996,30,"Larval_duration,Oceanography,Bg,"
Contrasting effects of historical sea level rise and contemporary ocean currents on regional gene flow of rhizophora racemosa in eastern atlantic mangroves,2016,31,"Oceanography,Historical,Sm,"
Vicariance and dispersal effects on phylogeographic structure and speciation in a widespread estuarine invertebrate,2006,32,"Oceanography,Historical,Sm,"
"GS,enetic divergence in antitropical pelagic marine fishes (Trachurus, Merluccius, and Scomber) between North and South America",1996,33,"Temperature,Bg,"
"Plankton of the Red Sea and the Arabian GS,ulf",1984,34,"Unknown,Oceanography,Sm,"
Coastal vegetation of Oman,1999,35,"Unknown,Sm,"
Disjunct distribution of highly diverged mitochondrial lineage clade and population subdivision in a marine bivalve with pelagic larval dispersal,2003,36,"Unknown,Historical,Sm,"
"13. GS,eographical Distribution",1998,37,"Oceanography,Bg,"
"New GS,eographical Record for the Two Lesser Known Flatfishes from the North-Eastern Arabian Sea",2022,38,"Effort,Sm,"
"Population structure of the dusky pipefish (Syngnathus floridae) from the Atlantic and GS,ulf of Mexico, as revealed by mitochondrial DNA and microsatellite analyses",2010,39,"Habitat,Larval_duration, Historical,Sm,"
Comparative phylogeography of coastal limpets across a marine disjunction in New Zealand,2006,40,"Larval_duration,Oceanography,Historical,Sm,"
Biological structure of the Pacific Ocean as compared with two other oceans,1981,41,"Habitat,Misc,Bg,"
"GS,eographical variation in sound production in the anemonefish Amphiprion akallopisos",2005,42,"Behavior,Sm,"
"Hydrodynamic connectivity of habitats of deep-water corals in Corsair Canyon, Northwest Atlantic: A case for cross-boundary conservation",2019,43,"Deep_sea,Oceanography,Sm,"
Recruitment of deep-water corals and sponges in the Northwest Atlantic Ocean: implications for habitat distribution and population connectivity,2022,44,"Deep_sea,Misc,Oceanography,Sm,"
Oceanic anoxic events and allopatric speciation in the deep sea,1987,45,"Deep_sea,Historical,Bg,Oxygen,"
Marine biogeographical structure in two highly dispersive gastropods: Implications for trans-Tasman dispersal,2007,46,"Habitat,Historical,Sm,"
"First record of the genus Vetulina Schmidt, 1879 (Porifera: Demospongiae: Sphaerocladina) from the Indian Ocean with the description of two new species: biogeographic and evolutionary significance",2018,47,"Historical,Bg,"
"GS,lobal population genetic structure and biogeography of the oceanic copepods Eucalanus hyalinus and E. spinifer",2005,48,"Habitat,Oceanography,Bg,"
"Two new species of Pseudojuloides from Western Australia and Southern Japan, with a redescription of pseudojuloides elongatus (Teleostei: Labridae)",2020,49,"Unknown,Bg,"
Inter-ocean dispersal is an important mechanism in the zoogeography of hakes (Pisces: Merluccius spp.),2001,50,"Unknown,Oceanography,Historical,Bg,"
Phylogeography of the sandy beach amphipod Haustorioides japonicus along the Sea of Japan: Paleogeographical signatures of cryptic regional divergences,2018,51,"Historical,Sm,"
Limited phylogeographic structure for five bathyal ophiuroids at continental scales,2014,52,"Unknown,Larval_duration,Sm,"
"Development and characterization of microsatellite markers for the finetooth shark, Carcharhinus isodon",2012,53,"Unknown,Sm,"
"A new genus of Chthamalidae (Cirripedia, Balanomorpha) from the Red Sea and Indian Ocean",1967,54,"Unknown,Historical,Sm,"
Major genetic differences between crown-of-thorns starfish (Acanthaster planci) populations in the Indian and Pacific oceans,1999,55,"Historical,Sm,"
The influence of oceanographic fronts and early-life-history traits on connectivity among littoral fish species,2009,56,"Oceanography,Sm,"
Spatial distribution and life-history aspects of blackspot seabream Pagellus bogaraveo (Osteichthyes: Sparidae),2013,57,"Habitat,Sm,"
